"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Genus","Genus.In.UK","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"84","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Boraginales","Hydrophyllaceae","Phacelia","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Ericales","Pentaphylacaceae","Adinandra","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Trigonopterum","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","rosids","Myrtales","Melastomataceae","Monochaetum","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Lactuca","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Sinosenecio","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","rosids","Cucurbitales","Cucurbitaceae","Cucumis","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Acanthaceae","Aphelandra","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Cicerbita","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Acanthaceae","Ptyssiglottis","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Lamiaceae","Mentha","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Lamiales","Acanthaceae","Streblacanthus","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Microgyne","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Piptanthus","Y",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","asterids","Asterales","Campanulaceae","Cyananthus","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Chlorophyta","Trebouxiophyceae","Microthamniales","","Trebouxia","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","Genus_ASV_Absent_in_Data_rbcL_dada2",NA,"Viridiplantae","Streptophyta","rosids","Sapindales","Burseraceae","Protium","N",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
